PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
31452103,Docking with AutoDock4,"Bitencourt-Ferreira G, Pintro VO, de Azevedo WF Jr.",Methods Mol Biol. 2019;2053:125-148. doi: 10.1007/978-1-4939-9752-7_9.,Bitencourt-Ferreira G,Methods Mol Biol,2019,2019/08/28,,,10.1007/978-1-4939-9752-7_9
35667260,"Deciphering the pharmacological mechanisms of Scutellaria baicalensis Georgi on oral leukoplakia by combining network pharmacology, molecular docking and experimental evaluations","Hou F, Yu Z, Cheng Y, Liu Y, Liang S, Zhang F.",Phytomedicine. 2022 Aug;103:154195. doi: 10.1016/j.phymed.2022.154195. Epub 2022 May 22.,Hou F,Phytomedicine,2022,2022/06/06,,,10.1016/j.phymed.2022.154195
36536459,Identification of a minimum number of genes to predict triple-negative breast cancer subgroups from gene expression profiles,"Akhouayri L, Ostano P, Mello-Grand M, Gregnanin I, Crivelli F, Laurora S, Liscia D, Leone F, Santoro A, Mulè A, Guarino D, Maggiore C, Carlino A, Magno S, Scatolini M, Di Leone A, Masetti R, Chiorino G.",Hum Genomics. 2022 Dec 20;16(1):70. doi: 10.1186/s40246-022-00436-6.,Akhouayri L,Hum Genomics,2022,2022/12/19,PMC9764480,,10.1186/s40246-022-00436-6
37314917,Multitype Perception Method for Drug-Target Interaction Prediction,"Wang H, Liu R, Wang B, Hong Y, Cui Z, Ni Q.",IEEE/ACM Trans Comput Biol Bioinform. 2023 Nov-Dec;20(6):3489-3498. doi: 10.1109/TCBB.2023.3285042. Epub 2023 Dec 25.,Wang H,IEEE/ACM Trans Comput Biol Bioinform,2023,2023/06/14,,,10.1109/TCBB.2023.3285042
37244151,DrugormerDTI: Drug Graphormer for drug-target interaction prediction,"Hu J, Yu W, Pang C, Jin J, Pham NT, Manavalan B, Wei L.",Comput Biol Med. 2023 Jul;161:106946. doi: 10.1016/j.compbiomed.2023.106946. Epub 2023 Apr 23.,Hu J,Comput Biol Med,2023,2023/05/27,,,10.1016/j.compbiomed.2023.106946
30423097,DeepDTA: deep drug-target binding affinity prediction,"Öztürk H, Özgür A, Ozkirimli E.",Bioinformatics. 2018 Sep 1;34(17):i821-i829. doi: 10.1093/bioinformatics/bty593.,Öztürk H,Bioinformatics,2018,2018/11/14,PMC6129291,,10.1093/bioinformatics/bty593
31993067,GANsDTA: Predicting Drug-Target Binding Affinity Using GANs,"Zhao L, Wang J, Pang L, Liu Y, Zhang J.",Front Genet. 2020 Jan 9;10:1243. doi: 10.3389/fgene.2019.01243. eCollection 2019.,Zhao L,Front Genet,2020,2020/01/30,PMC6962343,,10.3389/fgene.2019.01243
37812388,Optimization of drug-target affinity prediction methods through feature processing schemes,"Ru X, Zou Q, Lin C.",Bioinformatics. 2023 Nov 1;39(11):btad615. doi: 10.1093/bioinformatics/btad615.,Ru X,Bioinformatics,2023,2023/10/09,PMC10636279,,10.1093/bioinformatics/btad615
37099690,Improving drug-target affinity prediction via feature fusion and knowledge distillation,"Lu R, Wang J, Li P, Li Y, Tan S, Pan Y, Liu H, Gao P, Xie G, Yao X.",Brief Bioinform. 2023 May 19;24(3):bbad145. doi: 10.1093/bib/bbad145.,Lu R,Brief Bioinform,2023,2023/04/26,,,10.1093/bib/bbad145
36327172,Predicting Drug-Target Interactions Over Heterogeneous Information Network,"Su X, Hu P, Yi H, You Z, Hu L.",IEEE J Biomed Health Inform. 2023 Jan;27(1):562-572. doi: 10.1109/JBHI.2022.3219213. Epub 2023 Jan 4.,Su X,IEEE J Biomed Health Inform,2023,2022/11/03,,,10.1109/JBHI.2022.3219213
