Title,PMID,Abstract,Deep Learning,text
Drug Target Group Prediction with Multiple Drug Networks.,31267864,"Identification of drug-target interaction is essential in drug discovery. It is beneficial to predict unexpected therapeutic or adverse side effects of drugs. To date, several computational methods have been proposed to predict drug-target interactions because they are prompt and low-cost compared with traditional wet experiments. In this study, we investigated this problem in a different way. According to KEGG, drugs were classified into several groups based on their target proteins. A multi-label classification model was presented to assign drugs into correct target groups. To make full use of the known drug properties, five networks were constructed, each of which represented drug associations in one property. A powerful network embedding method, Mashup, was adopted to extract drug features from above-mentioned networks, based on which several machine learning algorithms, including RAndom k-labELsets (RAKEL) algorithm, Label Powerset (LP) algorithm and Support Vector Machine (SVM), were used to build the classification model. Tenfold cross-validation yielded the accuracy of 0.839, exact match of 0.816 and hamming loss of 0.037, indicating good performance of the model. The contribution of each network was also analyzed. Furthermore, the network model with multiple networks was found to be superior to the one with a single network and classic model, indicating the superiority of the proposed model.",0,"Drug Target Group Prediction with Multiple Drug Networks. Identification of drug-target interaction is essential in drug discovery. It is beneficial to predict unexpected therapeutic or adverse side effects of drugs. To date, several computational methods have been proposed to predict drug-target interactions because they are prompt and low-cost compared with traditional wet experiments. In this study, we investigated this problem in a different way. According to KEGG, drugs were classified into several groups based on their target proteins. A multi-label classification model was presented to assign drugs into correct target groups. To make full use of the known drug properties, five networks were constructed, each of which represented drug associations in one property. A powerful network embedding method, Mashup, was adopted to extract drug features from above-mentioned networks, based on which several machine learning algorithms, including RAndom k-labELsets (RAKEL) algorithm, Label Powerset (LP) algorithm and Support Vector Machine (SVM), were used to build the classification model. Tenfold cross-validation yielded the accuracy of 0.839, exact match of 0.816 and hamming loss of 0.037, indicating good performance of the model. The contribution of each network was also analyzed. Furthermore, the network model with multiple networks was found to be superior to the one with a single network and classic model, indicating the superiority of the proposed model."
Multimodal contrastive representation learning for drug-target binding affinity prediction.,37952703,"In the biomedical field, the efficacy of most drugs is demonstrated by their interactions with targets, meanwhile, accurate prediction of the strength of drug-target binding is extremely important for drug development efforts. Traditional bioassay-based drug-target binding affinity (DTA) prediction methods cannot meet the needs of drug R&D in the era of big data. Recent years we have witnessed significant success on deep learning-based models for drug-target binding affinity prediction task. However, these models only considered a single modality of drug and target information, and some valuable information was not fully utilized. In fact, the information of different modalities of drug and target can complement each other, and more valuable information can be obtained by fusing the information of different modalities. In this paper, we introduce a multimodal information fusion model for DTA prediction that is called FMDTA, which fully considers drug/target information in both string and graph modalities and balances the feature representations of different modalities by a contrastive learning approach. In addition, we exploited the alignment information of drug atoms and target residues to capture the positional information of string patterns, which can extract more useful feature information in SMILES and target sequences. Experimental results on two benchmark datasets show that FMDTA outperforms the state-of-the-art model, demonstrating the feasibility and excellent feature capture capability of FMDTA. The code of FMDTA and the data are available at: https://github.com/bestdoubleLin/FMDTA.",1,"Multimodal contrastive representation learning for drug-target binding affinity prediction. In the biomedical field, the efficacy of most drugs is demonstrated by their interactions with targets, meanwhile, accurate prediction of the strength of drug-target binding is extremely important for drug development efforts. Traditional bioassay-based drug-target binding affinity (DTA) prediction methods cannot meet the needs of drug R&D in the era of big data. Recent years we have witnessed significant success on deep learning-based models for drug-target binding affinity prediction task. However, these models only considered a single modality of drug and target information, and some valuable information was not fully utilized. In fact, the information of different modalities of drug and target can complement each other, and more valuable information can be obtained by fusing the information of different modalities. In this paper, we introduce a multimodal information fusion model for DTA prediction that is called FMDTA, which fully considers drug/target information in both string and graph modalities and balances the feature representations of different modalities by a contrastive learning approach. In addition, we exploited the alignment information of drug atoms and target residues to capture the positional information of string patterns, which can extract more useful feature information in SMILES and target sequences. Experimental results on two benchmark datasets show that FMDTA outperforms the state-of-the-art model, demonstrating the feasibility and excellent feature capture capability of FMDTA. The code of FMDTA and the data are available at: https://github.com/bestdoubleLin/FMDTA."
Deciphering the pharmacological mechanisms of Scutellaria baicalensis Georgi on oral leukoplakia by combining network pharmacology,35667260,"Oral leukoplakia (OLK), an uncharacterized pathological condition that occurs as a white patch in the oral mucosa, is the most common precancerous condition. Scutellaria baicalensis Georgi (SBG) is a medicinal plant with a wide range of pharmacological effects. Increased evidence shows that SBG has potential therapeutic effects on OLK. However, the therapeutic mechanisms of SBG against OLK have not yet been completely elucidated. This study aimed to clarify the active components and multi-target mechanisms of SBG against OLK via network pharmacology, molecular docking and experimental evaluations. The active components and related targets of SBG were screened by the TCMSP database and Swiss Target Prediction database. Potential therapeutic targets of OLK were collected using the GeneCards and OMIM databases. Then, we established protein-protein interaction (PPI), compound-target-disease (C-T-D), and compound-target-pathway (C-T-P) networks by Cytoscape to identify the main components, core targets, and pharmacological pathways of SBG against OLK via applying data mining techniques and topological parameters. Metascape database was utilized for GO and KEGG pathway analysis. Molecular docking techniques were used to estimate the binding force between the components and the hub genes. Subsequently, a series of in vitro experiments, specifically CCK-8 assay, clone formation assay, wound healing assay, flow cytometry, RT-qPCR and western blotting were conducted for further verification. There were 25 active components and 31 related target genes in SBG against OLK. PPI analysis showed that Akt1, VEGFA, EGFR, HIF1A and PTGS2 shared the highest centrality among all target genes. KEGG pathway analysis found that PI3K-Akt signaling pathway may occupy core status in the anti-OLK system. Molecular docking results showed that the main active components of SBG had a strong binding affinity to the hub genes. In vitro experiments showed that the leading component baicalein may inhibit proliferation, block cells in the S phase, induce DOK cell apoptosis, and downregulate the mRNA expression of 5 hub genes by inhibiting PI3K/Akt signaling pathway activation. The most predominant component of SBG against OLK was baicalein and the key pathway was PI3K/Akt. The main components and hub genes had robust binding abilities. In vitro experiments showed that baicalein could inhibit the proliferation of DOK cells, induce apoptosis, block the cell cycle, and inhibit the mRNA expression level of the hub genes by inhibiting the PI3K/Akt pathway.",0,"Deciphering the pharmacological mechanisms of Scutellaria baicalensis Georgi on oral leukoplakia by combining network pharmacology Oral leukoplakia (OLK), an uncharacterized pathological condition that occurs as a white patch in the oral mucosa, is the most common precancerous condition. Scutellaria baicalensis Georgi (SBG) is a medicinal plant with a wide range of pharmacological effects. Increased evidence shows that SBG has potential therapeutic effects on OLK. However, the therapeutic mechanisms of SBG against OLK have not yet been completely elucidated. This study aimed to clarify the active components and multi-target mechanisms of SBG against OLK via network pharmacology, molecular docking and experimental evaluations. The active components and related targets of SBG were screened by the TCMSP database and Swiss Target Prediction database. Potential therapeutic targets of OLK were collected using the GeneCards and OMIM databases. Then, we established protein-protein interaction (PPI), compound-target-disease (C-T-D), and compound-target-pathway (C-T-P) networks by Cytoscape to identify the main components, core targets, and pharmacological pathways of SBG against OLK via applying data mining techniques and topological parameters. Metascape database was utilized for GO and KEGG pathway analysis. Molecular docking techniques were used to estimate the binding force between the components and the hub genes. Subsequently, a series of in vitro experiments, specifically CCK-8 assay, clone formation assay, wound healing assay, flow cytometry, RT-qPCR and western blotting were conducted for further verification. There were 25 active components and 31 related target genes in SBG against OLK. PPI analysis showed that Akt1, VEGFA, EGFR, HIF1A and PTGS2 shared the highest centrality among all target genes. KEGG pathway analysis found that PI3K-Akt signaling pathway may occupy core status in the anti-OLK system. Molecular docking results showed that the main active components of SBG had a strong binding affinity to the hub genes. In vitro experiments showed that the leading component baicalein may inhibit proliferation, block cells in the S phase, induce DOK cell apoptosis, and downregulate the mRNA expression of 5 hub genes by inhibiting PI3K/Akt signaling pathway activation. The most predominant component of SBG against OLK was baicalein and the key pathway was PI3K/Akt. The main components and hub genes had robust binding abilities. In vitro experiments showed that baicalein could inhibit the proliferation of DOK cells, induce apoptosis, block the cell cycle, and inhibit the mRNA expression level of the hub genes by inhibiting the PI3K/Akt pathway."
Novel drug-target interactions via link prediction and network embedding.,35379165,"As many interactions between the chemical and genomic space remain undiscovered, computational methods able to identify potential drug-target interactions (DTIs) are employed to accelerate drug discovery and reduce the required cost. Predicting new DTIs can leverage drug repurposing by identifying new targets for approved drugs. However, developing an accurate computational framework that can efficiently incorporate chemical and genomic spaces remains extremely demanding. A key issue is that most DTI predictions suffer from the lack of experimentally validated negative interactions or limited availability of target 3D structures. We report DT2Vec, a pipeline for DTI prediction based on graph embedding and gradient boosted tree classification. It maps drug-drug and protein-protein similarity networks to low-dimensional features and the DTI prediction is formulated as binary classification based on a strategy of concatenating the drug and target embedding vectors as input features. DT2Vec was compared with three top-performing graph similarity-based algorithms on a standard benchmark dataset and achieved competitive results. In order to explore credible novel DTIs, the model was applied to data from the ChEMBL repository that contain experimentally validated positive and negative interactions which yield a strong predictive model. Then, the developed model was applied to all possible unknown DTIs to predict new interactions. The applicability of DT2Vec as an effective method for drug repurposing is discussed through case studies and evaluation of some novel DTI predictions is undertaken using molecular docking. The proposed method was able to integrate and map chemical and genomic space into low-dimensional dense vectors and showed promising results in predicting novel DTIs.",0,"Novel drug-target interactions via link prediction and network embedding. As many interactions between the chemical and genomic space remain undiscovered, computational methods able to identify potential drug-target interactions (DTIs) are employed to accelerate drug discovery and reduce the required cost. Predicting new DTIs can leverage drug repurposing by identifying new targets for approved drugs. However, developing an accurate computational framework that can efficiently incorporate chemical and genomic spaces remains extremely demanding. A key issue is that most DTI predictions suffer from the lack of experimentally validated negative interactions or limited availability of target 3D structures. We report DT2Vec, a pipeline for DTI prediction based on graph embedding and gradient boosted tree classification. It maps drug-drug and protein-protein similarity networks to low-dimensional features and the DTI prediction is formulated as binary classification based on a strategy of concatenating the drug and target embedding vectors as input features. DT2Vec was compared with three top-performing graph similarity-based algorithms on a standard benchmark dataset and achieved competitive results. In order to explore credible novel DTIs, the model was applied to data from the ChEMBL repository that contain experimentally validated positive and negative interactions which yield a strong predictive model. Then, the developed model was applied to all possible unknown DTIs to predict new interactions. The applicability of DT2Vec as an effective method for drug repurposing is discussed through case studies and evaluation of some novel DTI predictions is undertaken using molecular docking. The proposed method was able to integrate and map chemical and genomic space into low-dimensional dense vectors and showed promising results in predicting novel DTIs."
Coumarins and Quinolones as Effective Multiple Targeted Agents Versus Covid-19: An In Silico Study.,33563156,"Background: The Covid-19 virus emerged a few months ago in China, and infections rapidly escalated into a pandemic. Objective: To date, there is no selective antiviral agent for the management of pathologies associated with covid-19 and the need for an effective agent against it is essential. Methods: In this work, two home-made databases from synthetic quinolines and coumarins were virtually docked against viral proteases (3CL and PL), human cell surface proteases (TMPRSS2 and furin) and spike proteins (S1 and S2). Chloroquine, a reference drug without a clear mechanism against coronavirus was also docked on mentioned targets and the binding affinities compared with title compounds. Results: The best compounds of synthetic coumarins and quinolines for each target were determined. All compounds against all targets showed binding affinity between -5.80 to -8.99 kcal/mol in comparison with the FDA-approved drug, Chloroquine, with binding affinity of -5.7 to -7.98 kcal/mol. Two compounds, quinoline-1 and coumarin-24, were found to be effective on three targets - S2, TMPRSS2 and furin - simultaneously, with good predicted affinity between -7.54 to -8.85 kcal/mol. In silico ADME studies also confirmed good oral absorption for them. Furthermore, PASS prediction was calculated and coumarin-24 had higher probable activity (Pa) than probable inactivity (Pi) with acceptable protease inhibitory as well as good antiviral activity against Hepatitis C virus (HCV), Human immunodeficiency virus (HIV) and influenza. Conclusion: Quinoline-1 and Coumarin-24 have the potential to be used against Covid-19. Hence these agents could be useful in combating covid-19 infection after further in vitro and in vivo studies.",0,"Coumarins and Quinolones as Effective Multiple Targeted Agents Versus Covid-19: An In Silico Study. Background: The Covid-19 virus emerged a few months ago in China, and infections rapidly escalated into a pandemic. Objective: To date, there is no selective antiviral agent for the management of pathologies associated with covid-19 and the need for an effective agent against it is essential. Methods: In this work, two home-made databases from synthetic quinolines and coumarins were virtually docked against viral proteases (3CL and PL), human cell surface proteases (TMPRSS2 and furin) and spike proteins (S1 and S2). Chloroquine, a reference drug without a clear mechanism against coronavirus was also docked on mentioned targets and the binding affinities compared with title compounds. Results: The best compounds of synthetic coumarins and quinolines for each target were determined. All compounds against all targets showed binding affinity between -5.80 to -8.99 kcal/mol in comparison with the FDA-approved drug, Chloroquine, with binding affinity of -5.7 to -7.98 kcal/mol. Two compounds, quinoline-1 and coumarin-24, were found to be effective on three targets - S2, TMPRSS2 and furin - simultaneously, with good predicted affinity between -7.54 to -8.85 kcal/mol. In silico ADME studies also confirmed good oral absorption for them. Furthermore, PASS prediction was calculated and coumarin-24 had higher probable activity (Pa) than probable inactivity (Pi) with acceptable protease inhibitory as well as good antiviral activity against Hepatitis C virus (HCV), Human immunodeficiency virus (HIV) and influenza. Conclusion: Quinoline-1 and Coumarin-24 have the potential to be used against Covid-19. Hence these agents could be useful in combating covid-19 infection after further in vitro and in vivo studies."
Drug-target binding affinity prediction method based on a deep graph neural network.,36650765,"The development of new drugs is a long and costly process, Computer-aided drug design reduces development costs while computationally shortening the new drug development cycle, in which DTA (Drug-Target binding Affinity) prediction is a key step to screen out potential drugs. With the development of deep learning, various types of deep learning models have achieved notable performance in a wide range of fields. Most current related studies focus on extracting the sequence features of molecules while ignoring the valuable structural information; they employ sequence data that represent only the elemental composition of molecules without considering the molecular structure maps that contain structural information. In this paper, we use graph neural networks to predict DTA based on corresponding graph data of drugs and proteins, and we achieve competitive performance on two benchmark datasets, Davis and KIBA. In particular, an MSE of 0.227 and CI of 0.895 were obtained on Davis, and an MSE of 0.127 and CI of 0.903 were obtained on KIBA.",1,"Drug-target binding affinity prediction method based on a deep graph neural network. The development of new drugs is a long and costly process, Computer-aided drug design reduces development costs while computationally shortening the new drug development cycle, in which DTA (Drug-Target binding Affinity) prediction is a key step to screen out potential drugs. With the development of deep learning, various types of deep learning models have achieved notable performance in a wide range of fields. Most current related studies focus on extracting the sequence features of molecules while ignoring the valuable structural information; they employ sequence data that represent only the elemental composition of molecules without considering the molecular structure maps that contain structural information. In this paper, we use graph neural networks to predict DTA based on corresponding graph data of drugs and proteins, and we achieve competitive performance on two benchmark datasets, Davis and KIBA. In particular, an MSE of 0.227 and CI of 0.895 were obtained on Davis, and an MSE of 0.127 and CI of 0.903 were obtained on KIBA."
Fine-grained selective similarity integration for drug-target interaction prediction.,36907663,"The discovery of drug-target interactions (DTIs) is a pivotal process in pharmaceutical development. Computational approaches are a promising and efficient alternative to tedious and costly wet-lab experiments for predicting novel DTIs from numerous candidates. Recently, with the availability of abundant heterogeneous biological information from diverse data sources, computational methods have been able to leverage multiple drug and target similarities to boost the performance of DTI prediction. Similarity integration is an effective and flexible strategy to extract crucial information across complementary similarity views, providing a compressed input for any similarity-based DTI prediction model. However, existing similarity integration methods filter and fuse similarities from a global perspective, neglecting the utility of similarity views for each drug and target. In this study, we propose a Fine-Grained Selective similarity integration approach, called FGS, which employs a local interaction consistency-based weight matrix to capture and exploit the importance of similarities at a finer granularity in both similarity selection and combination steps. We evaluate FGS on five DTI prediction datasets under various prediction settings. Experimental results show that our method not only outperforms similarity integration competitors with comparable computational costs, but also achieves better prediction performance than state-of-the-art DTI prediction approaches by collaborating with conventional base models. Furthermore, case studies on the analysis of similarity weights and on the verification of novel predictions confirm the practical ability of FGS.",0,"Fine-grained selective similarity integration for drug-target interaction prediction. The discovery of drug-target interactions (DTIs) is a pivotal process in pharmaceutical development. Computational approaches are a promising and efficient alternative to tedious and costly wet-lab experiments for predicting novel DTIs from numerous candidates. Recently, with the availability of abundant heterogeneous biological information from diverse data sources, computational methods have been able to leverage multiple drug and target similarities to boost the performance of DTI prediction. Similarity integration is an effective and flexible strategy to extract crucial information across complementary similarity views, providing a compressed input for any similarity-based DTI prediction model. However, existing similarity integration methods filter and fuse similarities from a global perspective, neglecting the utility of similarity views for each drug and target. In this study, we propose a Fine-Grained Selective similarity integration approach, called FGS, which employs a local interaction consistency-based weight matrix to capture and exploit the importance of similarities at a finer granularity in both similarity selection and combination steps. We evaluate FGS on five DTI prediction datasets under various prediction settings. Experimental results show that our method not only outperforms similarity integration competitors with comparable computational costs, but also achieves better prediction performance than state-of-the-art DTI prediction approaches by collaborating with conventional base models. Furthermore, case studies on the analysis of similarity weights and on the verification of novel predictions confirm the practical ability of FGS."
Proteolytic cleavage of host proteins by the Group IV viral proteases of Venezuelan equine encephalitis virus and Zika virus.,30742841,"The alphaviral nonstructural protein 2 (nsP2) cysteine proteases (EC 3.4.22.-) are essential for the proteolytic processing of the nonstructural (ns) polyprotein and are validated drug targets. A common secondary role of these proteases is to antagonize the effects of interferon (IFN). After delineating the cleavage site motif of the Venezuelan equine encephalitis virus (VEEV) nsP2 cysteine protease, we searched the human genome to identify host protein substrates. Here we identify a new host substrate of the VEEV nsP2 protease, human TRIM14, a component of the mitochondrial antiviral-signaling protein (MAVS) signalosome. Short stretches of homologous host-pathogen protein sequences (SSHHPS) are present in the nonstructural polyprotein and TRIM14. A 25-residue cyan-yellow fluorescent protein TRIM14 substrate was cleaved in vitro by the VEEV nsP2 protease and the cleavage site was confirmed by tandem mass spectrometry. A TRIM14 cleavage product also was found in VEEV-infected cell lysates. At least ten other Group IV (+)ssRNA viral proteases have been shown to cleave host proteins involved in generating the innate immune responses against viruses, suggesting that the integration of these short host protein sequences into the viral protease cleavage sites may represent an embedded mechanism of IFN antagonism. This interference mechanism shows several parallels with those of CRISPR/Cas9 and RNAi/RISC, but with a protease recognizing a protein sequence common to both the host and pathogen. The short host sequences embedded within the viral genome appear to be analogous to the short phage sequences found in a host's CRISPR spacer sequences. To test this algorithm, we applied it to another Group IV virus, Zika virus (ZIKV), and identified cleavage sites within human SFRP1 (secreted frizzled related protein 1), a retinal Gs alpha subunit, NT5M, and Forkhead box protein G1 (FOXG1) in vitro. Proteolytic cleavage of these proteins suggests a possible link between the protease and the virus-induced phenotype of ZIKV. The algorithm may have value for selecting cell lines and animal models that recapitulate virus-induced phenotypes, predicting host-range and susceptibility, selecting oncolytic viruses, identifying biomarkers, and de-risking live virus vaccines. Inhibitors of the proteases that utilize this mechanism may both inhibit viral replication and alleviate suppression of the innate immune responses.",0,"Proteolytic cleavage of host proteins by the Group IV viral proteases of Venezuelan equine encephalitis virus and Zika virus. The alphaviral nonstructural protein 2 (nsP2) cysteine proteases (EC 3.4.22.-) are essential for the proteolytic processing of the nonstructural (ns) polyprotein and are validated drug targets. A common secondary role of these proteases is to antagonize the effects of interferon (IFN). After delineating the cleavage site motif of the Venezuelan equine encephalitis virus (VEEV) nsP2 cysteine protease, we searched the human genome to identify host protein substrates. Here we identify a new host substrate of the VEEV nsP2 protease, human TRIM14, a component of the mitochondrial antiviral-signaling protein (MAVS) signalosome. Short stretches of homologous host-pathogen protein sequences (SSHHPS) are present in the nonstructural polyprotein and TRIM14. A 25-residue cyan-yellow fluorescent protein TRIM14 substrate was cleaved in vitro by the VEEV nsP2 protease and the cleavage site was confirmed by tandem mass spectrometry. A TRIM14 cleavage product also was found in VEEV-infected cell lysates. At least ten other Group IV (+)ssRNA viral proteases have been shown to cleave host proteins involved in generating the innate immune responses against viruses, suggesting that the integration of these short host protein sequences into the viral protease cleavage sites may represent an embedded mechanism of IFN antagonism. This interference mechanism shows several parallels with those of CRISPR/Cas9 and RNAi/RISC, but with a protease recognizing a protein sequence common to both the host and pathogen. The short host sequences embedded within the viral genome appear to be analogous to the short phage sequences found in a host's CRISPR spacer sequences. To test this algorithm, we applied it to another Group IV virus, Zika virus (ZIKV), and identified cleavage sites within human SFRP1 (secreted frizzled related protein 1), a retinal Gs alpha subunit, NT5M, and Forkhead box protein G1 (FOXG1) in vitro. Proteolytic cleavage of these proteins suggests a possible link between the protease and the virus-induced phenotype of ZIKV. The algorithm may have value for selecting cell lines and animal models that recapitulate virus-induced phenotypes, predicting host-range and susceptibility, selecting oncolytic viruses, identifying biomarkers, and de-risking live virus vaccines. Inhibitors of the proteases that utilize this mechanism may both inhibit viral replication and alleviate suppression of the innate immune responses."
Multi-view self-attention for interpretable drug-target interaction prediction.,32860883,"The drug discovery stage is a vital aspect of the drug development process and forms part of the initial stages of the development pipeline. In recent times, machine learning-based methods are actively being used to model drug-target interactions for rational drug discovery due to the successful application of these methods in other domains. In machine learning approaches, the numerical representation of molecules is critical to the performance of the model. While significant progress has been made in molecular representation engineering, this has resulted in several descriptors for both targets and compounds. Also, the interpretability of model predictions is a vital feature that could have several pharmacological applications. In this study, we propose a self-attention-based multi-view representation learning approach for modeling drug-target interactions. We evaluated our approach using three benchmark kinase datasets and compared the proposed method to some baseline models. Our experimental results demonstrate the ability of our method to achieve competitive prediction performance and offer biologically plausible drug-target interaction interpretations.",1,"Multi-view self-attention for interpretable drug-target interaction prediction. The drug discovery stage is a vital aspect of the drug development process and forms part of the initial stages of the development pipeline. In recent times, machine learning-based methods are actively being used to model drug-target interactions for rational drug discovery due to the successful application of these methods in other domains. In machine learning approaches, the numerical representation of molecules is critical to the performance of the model. While significant progress has been made in molecular representation engineering, this has resulted in several descriptors for both targets and compounds. Also, the interpretability of model predictions is a vital feature that could have several pharmacological applications. In this study, we propose a self-attention-based multi-view representation learning approach for modeling drug-target interactions. We evaluated our approach using three benchmark kinase datasets and compared the proposed method to some baseline models. Our experimental results demonstrate the ability of our method to achieve competitive prediction performance and offer biologically plausible drug-target interaction interpretations."
Ligand Binding Prediction Using Protein Structure Graphs and Residual Graph Attention Networks.,36014351,"Computational prediction of ligand-target interactions is a crucial part of modern drug discovery as it helps to bypass high costs and labor demands of in vitro and in vivo screening. As the wealth of bioactivity data accumulates, it provides opportunities for the development of deep learning (DL) models with increasing predictive powers. Conventionally, such models were either limited to the use of very simplified representations of proteins or ineffective voxelization of their 3D structures. Herein, we present the development of the PSG-BAR (Protein Structure Graph-Binding Affinity Regression) approach that utilizes 3D structural information of the proteins along with 2D graph representations of ligands. The method also introduces attention scores to selectively weight protein regions that are most important for ligand binding. Results: The developed approach demonstrates the state-of-the-art performance on several binding affinity benchmarking datasets. The attention-based pooling of protein graphs enables identification of surface residues as critical residues for protein-ligand binding. Finally, we validate our model predictions against an experimental assay on a viral main protease (Mpro)-the hallmark target of SARS-CoV-2 coronavirus.",1,"Ligand Binding Prediction Using Protein Structure Graphs and Residual Graph Attention Networks. Computational prediction of ligand-target interactions is a crucial part of modern drug discovery as it helps to bypass high costs and labor demands of in vitro and in vivo screening. As the wealth of bioactivity data accumulates, it provides opportunities for the development of deep learning (DL) models with increasing predictive powers. Conventionally, such models were either limited to the use of very simplified representations of proteins or ineffective voxelization of their 3D structures. Herein, we present the development of the PSG-BAR (Protein Structure Graph-Binding Affinity Regression) approach that utilizes 3D structural information of the proteins along with 2D graph representations of ligands. The method also introduces attention scores to selectively weight protein regions that are most important for ligand binding. Results: The developed approach demonstrates the state-of-the-art performance on several binding affinity benchmarking datasets. The attention-based pooling of protein graphs enables identification of surface residues as critical residues for protein-ligand binding. Finally, we validate our model predictions against an experimental assay on a viral main protease (Mpro)-the hallmark target of SARS-CoV-2 coronavirus."
