PMID,text,Experimental
32307268,"Active constituents and mechanisms of Respiratory Detox Shot, a traditional Chinese medicine prescription, for COVID-19 control and prevention: Network-molecular docking-LC-MS<sup>E</sup> analysis.. Lung-toxin Dispelling Formula No. 1, referred to as Respiratory Detox Shot (RDS), was developed based on a classical prescription of traditional Chinese medicine (TCM) and the theoretical understanding of herbal properties within TCM. Therapeutic benefits of using RDS for both disease
control and prevention, in the effort to contain the coronavirus disease 2019 (COVID-19), have been shown. However, the biochemically active constituents of RDS and their mechanisms of action are still unclear. The goal of the present study is to clarify the material foundation and action mechanism
of RDS. To conduct an analysis of RDS, an integrative analytical platform was constructed, including target prediction, protein-protein interaction (PPI) network, and cluster analysis; further, the hub genes involved in the disease-related pathways were identified, and the their corresponding
compounds were used for in vitro validation of molecular docking predictions. The presence of these validated compounds was also measured in samples of the RDS formula to quantify the abundance of the biochemically active constituents. In our network pharmacological study, a total of 26
bioinformatic programs and databases were used, and six networks, covering the entire Zang-fu viscera, were constructed to comprehensively analyze the intricate connections among the compounds-targets-disease pathways-meridians of RDS. For all 1071 known chemical constituents of the nine ingredients
in RDS, identified from established TCM databases, 157 passed drug-likeness screening and led to 339 predicted targets in the constituent-target network. Forty-two hub genes with core regulatory effects were extracted from the PPI network, and 134 compounds and 29 crucial disease pathways were
implicated in the target-constituent-disease network. Twelve disease pathways attributed to the Lung-Large Intestine meridians, with six and five attributed to the Kidney-Urinary Bladder and Stomach-Spleen meridians, respectively. One-hundred and eighteen candidate constituents showed a high binding
affinity with SARS-coronavirus-2 3-chymotrypsin-like protease (3CL<sup>pro</sup>), as indicated by molecular docking using computational pattern recognition. The in vitro activity of 22 chemical constituents of RDS was validated using the 3CL<sup>pro</sup> inhibition assay. Finally, using liquid
chromatography mass spectrometry in data-independent analysis mode, the presence of seven out of these 22 constituents was confirmed and validated in an aqueous decoction of RDS, using reference standards in both non-targeted and targeted approaches. RDS acts primarily in the Lung-Large Intestine,
Kidney-Urinary Bladder and Stomach-Spleen meridians, with other Zang-fu viscera strategically covered by all nine ingredients. In the context of TCM meridian theory, the multiple components and targets of RDS contribute to RDS's dual effects of health-strengthening and pathogen-eliminating. This
results in general therapeutic effects for early COVID-19 control and prevention.",1
31993067,"GANsDTA: Predicting Drug-Target Binding Affinity Using GANs.. The computational prediction of interactions between drugs and targets is a standing challenge in drug discovery. State-of-the-art methods for drug-target interaction prediction are primarily based on supervised machine learning with known label information. However, in biomedicine,
obtaining labeled training data is an expensive and a laborious process. This paper proposes a semi-supervised generative adversarial networks (GANs)-based method to predict binding affinity. Our method comprises two parts, two GANs for feature extraction and a regression network for prediction. The
semi-supervised mechanism allows our model to learn proteins drugs features of both labeled and unlabeled data. We evaluate the performance of our method using multiple public datasets. Experimental results demonstrate that our method achieves competitive performance while utilizing freely available
unlabeled data. Our results suggest that utilizing such unlabeled data can considerably help improve performance in various biomedical relation extraction processes, for example, Drug-Target interaction and protein-protein interaction, particularly when only limited labeled data are available in
such tasks. To our best knowledge, this is the first semi-supervised GANs-based method to predict binding affinity.",0
28551771,"Synergistic effects of Chuanxiong-Chishao herb-pair on promoting angiogenesis at network pharmacological and pharmacodynamic levels.. To investigate the synergistic effects of Chuanxiong-Chishao herb-pair (CCHP) on promoting angiogenesis in silico and in vivo. The mechanisms of action of an herb-pair, Chuanxiong-Chishao, were investigated using the network pharmacological and pharmacodynamic strategies involving
computational drug target prediction and network analysis, and experimental validation. A set of network pharmacology methods were created to study the herbs in the context of targets and diseases networks, including prediction of target profiles and pharmacological actions of main active compounds
in Chuanxiong and Chishao. Furthermore, the therapeutic effects and putative molecular mechanisms of Chuanxiong-Chishao actions were experimentally validated in a chemical-induced vascular insuffificiency model of transgenic zebrafifish in vivo. The mRNA expression of the predicted targets were
further analyzed by real-time polymerase chain reaction (RT-PCR). The computational prediction results found that the compounds in Chuanxiong have antithrombotic, antihypertensive, antiarrhythmic, and antiatherosclerotic activities, which were closely related to protecting against hypoxic-ischemic
encephalopathy, ischemic stroke, myocardial infarction and heart failure. In addition, compounds in Chishao were found to participate in anti-inflflammatory effect and analgesics. Particularly, estrogen receptor α (ESRα) and hypoxia-inducible factor 1-α (HIF-1α) were the most important potential
protein targets in the predicted results. In vivo experimental validation showed that post-treatment of tetramethylpyrazine hydrochloride (TMP•HCl) and paeoniflorin (PF) promoted the regeneration of new blood vessels in zebrafifish involving up-regulating ESRα mRNA expression. Co-treatment of
TMP•HCl and PF could enhance the vessel sprouting in chemical-induced vascular insuffificiency zebrafifish at the optimal compatibility proportion of PF 10 μmol/L with TMP•HCl 1 μmol/L. The network pharmacological strategies combining drug target prediction and network analysis identified some
putative targets of CCHP. Moreover, the transgenic zebrafifish experiments demonstrated that the Chuanxiong-Chishao combination synergistically promoted angiogenic activity, probably involving ESRα signaling pathway.",1
35043158,"Drug-target interactions prediction via deep collaborative filtering with multiembeddings.. Drug-target interactions (DTIs) prediction research presents important significance for promoting the development of modern medicine and pharmacology. Traditional biochemical experiments for DTIs prediction confront the challenges including long time period, high cost and high failure
rate, and finally leading to a low-drug productivity. Chemogenomic-based computational methods can realize high-throughput prediction. In this study, we develop a deep collaborative filtering prediction model with multiembeddings, named DCFME (deep collaborative filtering prediction model with
multiembeddings), which can jointly utilize multiple feature information from multiembeddings. Two different representation learning algorithms are first employed to extract heterogeneous network features. DCFME uses the generated low-dimensional dense vectors as input, and then simulates the
drug-target relationship from the perspective of both couplings and heterogeneity. In addition, the model employs focal loss that concentrates the loss on sparse and hard samples in the training process. Comparative experiments with five baseline methods show that DCFME achieves more significant
performance improvement on sparse datasets. Moreover, the model has better robustness and generalization capacity under several harder prediction scenarios.",0
37730555,"Drug-target binding affinity prediction using message passing neural network and self supervised learning.. Drug-target binding affinity (DTA) prediction is important for the rapid development of drug discovery. Compared to traditional methods, deep learning methods provide a new way for DTA prediction to achieve good performance without much knowledge of the biochemical background. However,
there are still room for improvement in DTA prediction: (1) only focusing on the information of the atom leads to an incomplete representation of the molecular graph; (2) the self-supervised learning method could be introduced for protein representation. In this paper, a DTA prediction model using
the deep learning method is proposed, which uses an undirected-CMPNN for molecular embedding and combines CPCProt and MLM models for protein embedding. An attention mechanism is introduced to discover the important part of the protein sequence. The proposed method is evaluated on the datasets Ki and
Davis, and the model outperformed other deep learning methods. The proposed model improves the performance of the DTA prediction, which provides a novel strategy for deep learning-based virtual screening methods.",0
37524952,"Deep-learning-enabled protein-protein interaction analysis for prediction of SARS-CoV-2 infectivity and variant evolution.. Host-pathogen interactions and pathogen evolution are underpinned by protein-protein interactions between viral and host proteins. An understanding of how viral variants affect protein-protein binding is important for predicting viral-host interactions, such as the emergence of new
pathogenic SARS-CoV-2 variants. Here we propose an artificial intelligence-based framework called UniBind, in which proteins are represented as a graph at the residue and atom levels. UniBind integrates protein three-dimensional structure and binding affinity and is capable of multi-task learning
for heterogeneous biological data integration. In systematic tests on benchmark datasets and further experimental validation, UniBind effectively and scalably predicted the effects of SARS-CoV-2 spike protein variants on their binding affinities to the human ACE2 receptor, as well as to SARS-CoV-2
neutralizing monoclonal antibodies. Furthermore, in a cross-species analysis, UniBind could be applied to predict host susceptibility to SARS-CoV-2 variants and to predict future viral variant evolutionary trends. This in silico approach has the potential to serve as an early warning system for
problematic emerging SARS-CoV-2 variants, as well as to facilitate research on protein-protein interactions in general.",1
38139037,"Targeting Cathepsin L in Cancer Management: Leveraging Machine Learning, Structure-Based Virtual Screening, and Molecular Dynamics Studies.. Cathepsin L (CTSL) expression is dysregulated in a variety of cancers. Extensive empirical evidence indicates their direct participation in cancer growth, angiogenic processes, metastatic dissemination, and the development of treatment resistance. Currently, no natural CTSL inhibitors are
approved for clinical use. Consequently, the development of novel CTSL inhibition strategies is an urgent necessity. In this study, a combined machine learning (ML) and structure-based virtual screening strategy was employed to identify potential natural CTSL inhibitors. The random forest ML model
was trained on IC<sub>50</sub> values. The accuracy of the trained model was over 90%. Furthermore, we used this ML model to screen the Biopurify and Targetmol natural compound libraries, yielding 149 hits with prediction scores >0.6. These hits were subsequently selected for virtual screening using
a structure-based approach, yielding 13 hits with higher binding affinity compared to the positive control (AZ12878478). Two of these hits, ZINC4097985 and ZINC4098355, have been shown to strongly bind CTSL proteins. In addition to drug-like properties, both compounds demonstrated high affinity,
ligand efficiency, and specificity for the CTSL binding pocket. Furthermore, in molecular dynamics simulations spanning 200 ns, these compounds formed stable protein-ligand complexes. ZINC4097985 and ZINC4098355 can be considered promising candidates for CTSL inhibition after experimental
validation, with the potential to provide therapeutic benefits in cancer management.",0
31386888,"Prediction of the mechanisms of action of Shenkang in chronic kidney disease: A network pharmacology study and experimental validation.. Traditional Chinese medicine provides a unique curative treatment of complex chronic diseases, including chronic kidney disease (CKD), which is not effectively treated with the current therapies. The pharmacological mechanisms of Shenkang (SK), a herbal medicine containing rhubarb (Rheum
palmatum L. or R. tanguticum Maxim. ex Balf.), red sage (Salvia miltiorrhiza Bunge), safflower (Carthamus tinctorius L.), and astragalus (Astragalus mongholicus Bunge), widely used to treat CKD in China, are still unclear. In this study, the comprehensive approach used for elucidating the
pharmacological mechanisms of SK included the identification of the effective constituents, target prediction and network analysis, by investigating the interacting pathways between these molecules in the context of CKD. These results were validated by performing an in vivo study and by comparison
with literature reviews. This approach involved the following main steps: first, we constructed a molecular database for SK and screened for active molecules by conducting drug-likeness and drug half-life evaluations; second, we used a weighted ensemble similarity drug-targeting model to accurately
identify the direct drug targets of the bioactive constituents; third, we constructed compound-target, target-pathway, and target-disease networks using the Cytoscape 3.2 software and determined the distribution of the targets in tissues and organs according to the BioGPS database. Finally, the
resulting drug-target mechanisms were compared with those proposed by previous research on SK and validated in a mouse model of CKD. By using Network analysis, 88 potential bioactive compounds in the four component herbs of SK and 85 CKD-related targets were identified, including pathways that
involve the nuclear factor-κB, mitogen-activated protein kinase, transient receptor potential, and vascular endothelial growth factor, which were categorized as inflammation, proliferation, migration, and permeability modules. The results also included different tissues (kidneys, liver, lungs, and
heart) and different disease types (urogenital, metabolic, endocrine, cardiovascular, and immune diseases as well as pathological processes) closely related to CKD. These findings agreed with those reported in the literature. However, our findings with the network pharmacology prediction did not
account for all the effects reported for SK found in the literature, such as regulation of the hemodynamics, inhibition of oxidative stress and apoptosis, and the involvement of the transforming growth factor-β/SMAD3, sirtuin/forkhead box protein O (SIRT/FOXO) and B-cell lymphoma-2-associated X
protein pathways. The in vivo validation experiment revealed that SK ameliorated CKD through antifibrosis and anti-inflammatory effects, by downregulating the levels of vascular cell adhesion protein 1, vitamin D receptor, cyclooxygenase-2, and matrix metalloproteinase 9 proteins in the unilateral
ureteral obstruction mouse model. This was consistent with the predicted target and pathway networks. SK exerted a curative effect on CKD and CKD-related diseases by targeting different organs, regulating inflammation and proliferation processes, and inhibiting abnormal extracellular matrix
accumulation. Thus, pharmacological network analysis with in vivo validation explained the potential effects and mechanisms of SK in the treatment of CKD. However, these findings need to be further confirmed with clinical studies.",1
38094882,"Computer-aided identification of <i>Mycobacterium tuberculosis</i> resuscitation-promoting factor B (RpfB) inhibitors from <i>Gymnema sylvestre</i> natural products.. Tuberculosis (TB), an infectious disease caused by multi-drug resistant <i>Mycobacterium tuberculosis</i> (Mtb), has been a global health concern. Mtb affects over a third of the world's population, causing two million deaths annually due to its dormancy and propensity to spread infection
during this period. Resuscitation-promoting factor B (RpfB) plays a pivotal role in the growth of Mtb during dormant periods, making it a critical target for eliminating Mtb and curing TB. Gymnema sylvestre is a famous medicinal plant with several medicinal properties, including antimicrobial
activity; however, the therapeutic potential of the various reported metabolites of this plant against Mtb has not yet been explored. The aim of this study was to explore the reported natural products of <i>G</i>. <i>sylvestre</i> against the RpfB of the Mtb. A total of 131 reported secondary
metabolites of this plant were collected and virtually screened against the RpfB. We particularly targeted the Glu292 residue of RpfB as it is crucial for the catalysis of this protein. From our <i>in-house</i> library, 114 compounds showed a binding affinity higher than the standard drug. The
binding stability of the top three lead compounds was further confirmed through MD simulation analysis. Drug likeness analyses indicated that the ten hits had zero violations of the Lipinski rule of five. In addition, analyses of pharmacokinetics, toxicity, and target prediction revealed that the
top compounds are devoid of toxicity and do not affect human proteins. Additionally, they reflect multifaceted approach as anti-TB agents. Our selected hits not only exhibit molecular properties favoring physiological compatibility but also exhibit properties enhancing their potential efficacy as
therapeutic candidates. The compounds investigated here are worthy of experimental validation for the discovery of novel treatments against TB. Further, this study also provides a promising avenue for research on the pharmacological potential of <i>G. sylvestre.</i>",0
37061207,"Toxicity prediction using target, interactome, and pathway profiles as descriptors.. In silico methods are essential to the safety evaluation of chemicals. Computational risk assessment offers several approaches, with data science and knowledge-based methods becoming an increasingly important sub-group. One of the substantial attributes of data science is that it allows
using existing data to find correlations, build strong hypotheses, and create new, valuable knowledge that may help to reduce the number of resource intensive experiments. In choosing a suitable method for toxicity prediction, the available data and desired toxicity endpoint are two essential
factors to consider. The complexity of the endpoint can impact the success rate of the in silico models. For highly complex endpoints such as hepatotoxicity, it can be beneficial to decipher the toxic event from a more systemic point of view. We propose a data science-based modelling pipeline that
uses compounds` connections to tissue-specific biological targets, interactome, and biological pathways as descriptors of compounds. Models trained on different combinations of the collected, compound-target, compound-interactor, and compound-pathway profiles, were used to predict the hepatotoxicity
of drug-like compounds. Several tree-based models were trained, utilizing separate and combined target, interactome and pathway level variables. The model using combined descriptors of all levels and the random forest algorithm was further optimized. Descriptor importance for model performance was
addressed and examined for a biological explanation to define which targets or pathways can have a crucial role in toxicity. Descriptors connected to cytochromes P450 enzymes, heme degradation and biological oxidation received high weights. Furthermore, the involvement of other, less discussed
processes in connection with toxicity, such as the involvement of RHO GTPase effectors in hepatotoxicity, were marked as fundamental. The optimized combined model using only the selected descriptors yielded the best performance with an accuracy of 0.766. The same dataset using classical Morgan
fingerprints for compound representation yielded models with similar performance measures, as well as the combination of systems biology-based descriptors and Morgan fingerprints. Consequently, adding the structural information of compounds did not enhance the predictive value of the models. The
developed systems biology-based pipeline comprises a valuable tool in predicting toxicity, while providing novel insights about the possible mechanisms of the unwanted events.",0
