Title,PMID,Abstract,RMSE,text
Multitype Perception Method for Drug-Target Interaction Prediction.,37314917,"With the growing popularity of artificial intelligence in drug discovery, many deep-learning technologies have been used to automatically predict unknown drug-target interactions (DTIs). A unique challenge in using these technologies to predict DTI is fully exploiting the knowledge
diversity across different interaction types, such as drug-drug, drug-target, drug-enzyme, drug-path, and drug-structure types. Unfortunately, existing methods tend to learn the specifical knowledge on each interaction type and they usually ignore the knowledge diversity across different interaction
types. Therefore, we propose a multitype perception method (MPM) for DTI prediction by exploiting knowledge diversity across different link types. The method consists of two main components: a type perceptor and a multitype predictor. The type perceptor learns distinguished edge representations by
retaining the specifical features across different interaction types; this maximizes the prediction performance for each interaction type. The multitype predictor calculates the type similarity between the type perceptor and predicted interactions, and the domain gate module is reconstructed to
assign an adaptive weight to each type perceptor. Extensive experiments demonstrate that our proposed MPM outperforms the state-of-the-art methods in DTI prediction.",0,"Multitype Perception Method for Drug-Target Interaction Prediction. With the growing popularity of artificial intelligence in drug discovery, many deep-learning technologies have been used to automatically predict unknown drug-target interactions (DTIs). A unique challenge in using these technologies to predict DTI is fully exploiting the knowledge
diversity across different interaction types, such as drug-drug, drug-target, drug-enzyme, drug-path, and drug-structure types. Unfortunately, existing methods tend to learn the specifical knowledge on each interaction type and they usually ignore the knowledge diversity across different interaction
types. Therefore, we propose a multitype perception method (MPM) for DTI prediction by exploiting knowledge diversity across different link types. The method consists of two main components: a type perceptor and a multitype predictor. The type perceptor learns distinguished edge representations by
retaining the specifical features across different interaction types; this maximizes the prediction performance for each interaction type. The multitype predictor calculates the type similarity between the type perceptor and predicted interactions, and the domain gate module is reconstructed to
assign an adaptive weight to each type perceptor. Extensive experiments demonstrate that our proposed MPM outperforms the state-of-the-art methods in DTI prediction."
Fusing Sequence and Structural Knowledge by Heterogeneous Models to Accurately and Interpretively Predict Drug-Target Affinity.,38138496,"Drug-target affinity (DTA) prediction is crucial for understanding molecular interactions and aiding drug discovery and development. While various computational methods have been proposed for DTA prediction, their predictive accuracy remains limited, failing to delve into the structural
nuances of interactions. With increasingly accurate and accessible structure prediction of targets, we developed a novel deep learning model, named S2DTA, to accurately predict DTA by fusing sequence features of drug SMILES, targets, and pockets and their corresponding graph structural features
using heterogeneous models based on graph and semantic networks. Experimental findings underscored that complex feature representations imparted negligible enhancements to the model's performance. However, the integration of heterogeneous models demonstrably bolstered predictive accuracy. In
comparison to three state-of-the-art methodologies, such as DeepDTA, GraphDTA, and DeepDTAF, S2DTA's performance became more evident. It exhibited a 25.2% reduction in mean absolute error (MAE) and a 20.1% decrease in root mean square error (RMSE). Additionally, S2DTA showed some improvements in
other crucial metrics, including Pearson Correlation Coefficient (PCC), Spearman, Concordance Index (CI), and <i>R</i><sup>2</sup>, with these metrics experiencing increases of 19.6%, 17.5%, 8.1%, and 49.4%, respectively. Finally, we conducted an interpretability analysis on the effectiveness of
S2DTA by bidirectional self-attention mechanism. The analysis results supported that S2DTA was an effective and accurate tool for predicting DTA.",1,"Fusing Sequence and Structural Knowledge by Heterogeneous Models to Accurately and Interpretively Predict Drug-Target Affinity. Drug-target affinity (DTA) prediction is crucial for understanding molecular interactions and aiding drug discovery and development. While various computational methods have been proposed for DTA prediction, their predictive accuracy remains limited, failing to delve into the structural
nuances of interactions. With increasingly accurate and accessible structure prediction of targets, we developed a novel deep learning model, named S2DTA, to accurately predict DTA by fusing sequence features of drug SMILES, targets, and pockets and their corresponding graph structural features
using heterogeneous models based on graph and semantic networks. Experimental findings underscored that complex feature representations imparted negligible enhancements to the model's performance. However, the integration of heterogeneous models demonstrably bolstered predictive accuracy. In
comparison to three state-of-the-art methodologies, such as DeepDTA, GraphDTA, and DeepDTAF, S2DTA's performance became more evident. It exhibited a 25.2% reduction in mean absolute error (MAE) and a 20.1% decrease in root mean square error (RMSE). Additionally, S2DTA showed some improvements in
other crucial metrics, including Pearson Correlation Coefficient (PCC), Spearman, Concordance Index (CI), and <i>R</i><sup>2</sup>, with these metrics experiencing increases of 19.6%, 17.5%, 8.1%, and 49.4%, respectively. Finally, we conducted an interpretability analysis on the effectiveness of
S2DTA by bidirectional self-attention mechanism. The analysis results supported that S2DTA was an effective and accurate tool for predicting DTA."
A novel proteochemometrics model for predicting the inhibition of nine carbonic anhydrase isoforms based on supervised Laplacian score and k-nearest neighbour regression.,29882433,"Carbonic anhydrases (CAs) are essential enzymes in biological processes. Prediction of the activity of compounds towards CA isoforms could be evaluated by computational techniques to discover a novel therapeutic inhibitor. Studies such as quantitative structure-activity relationships
(QSARs), molecular docking and pharmacophore modelling have been carried out to design potent inhibitors. Unfortunately, QSAR does not consider the information of target space in the model. We successfully developed an in silico proteochemometrics model that simultaneously uses target and ligand
descriptors to predict the activities of CA inhibitors. Herein, a strong predictive model was built for the prediction of protein-ligand binding affinity between nine human CA isoforms and 549 ligands. We applied descriptors obtained from the PROFEAT webserver for the proteins. Ligands were encoded
by descriptors from PaDEL-Descriptor software. Supervised Laplacian score (SLS) and particle swarm optimization were used for feature selection. Models were derived using k-nearest neighbour (KNN) regression and a kernel smoother model. The predictive ability of the models was evaluated by an
external validation test. Statistical results (Q<sup>2</sup><sub>ext</sub> = 0.7806, r<sup>2</sup><sub>test</sub> = 0.7811 and RMSE<sub>test</sub> = 0.5549) showed that the model generated using SLS and KNN regression outperformed the other models. Consequently, the selectivity of compounds towards
these enzymes will be predicted prior to synthesis.",1,"A novel proteochemometrics model for predicting the inhibition of nine carbonic anhydrase isoforms based on supervised Laplacian score and k-nearest neighbour regression. Carbonic anhydrases (CAs) are essential enzymes in biological processes. Prediction of the activity of compounds towards CA isoforms could be evaluated by computational techniques to discover a novel therapeutic inhibitor. Studies such as quantitative structure-activity relationships
(QSARs), molecular docking and pharmacophore modelling have been carried out to design potent inhibitors. Unfortunately, QSAR does not consider the information of target space in the model. We successfully developed an in silico proteochemometrics model that simultaneously uses target and ligand
descriptors to predict the activities of CA inhibitors. Herein, a strong predictive model was built for the prediction of protein-ligand binding affinity between nine human CA isoforms and 549 ligands. We applied descriptors obtained from the PROFEAT webserver for the proteins. Ligands were encoded
by descriptors from PaDEL-Descriptor software. Supervised Laplacian score (SLS) and particle swarm optimization were used for feature selection. Models were derived using k-nearest neighbour (KNN) regression and a kernel smoother model. The predictive ability of the models was evaluated by an
external validation test. Statistical results (Q<sup>2</sup><sub>ext</sub> = 0.7806, r<sup>2</sup><sub>test</sub> = 0.7811 and RMSE<sub>test</sub> = 0.5549) showed that the model generated using SLS and KNN regression outperformed the other models. Consequently, the selectivity of compounds towards
these enzymes will be predicted prior to synthesis."
GraphDTA: predicting drug-target binding affinity with graph neural networks.,33119053,"The development of new drugs is costly, time consuming and often accompanied with safety issues. Drug repurposing can avoid the expensive and lengthy process of drug development by finding new uses for already approved drugs. In order to repurpose drugs effectively, it is useful to know
which proteins are targeted by which drugs. Computational models that estimate the interaction strength of new drug-target pairs have the potential to expedite drug repurposing. Several models have been proposed for this task. However, these models represent the drugs as strings, which is not a
natural way to represent molecules. We propose a new model called GraphDTA that represents drugs as graphs and uses graph neural networks to predict drug-target affinity. We show that graph neural networks not only predict drug-target affinity better than non-deep learning models, but also
outperform competing deep learning methods. Our results confirm that deep learning models are appropriate for drug-target binding affinity prediction, and that representing drugs as graphs can lead to further improvements. The proposed models are implemented in Python. Related data, pre-trained
models and source code are publicly available at https://github.com/thinng/GraphDTA. All scripts and data needed to reproduce the post hoc statistical analysis are available from https://doi.org/10.5281/zenodo.3603523. Supplementary data are available at Bioinformatics online.",0,"GraphDTA: predicting drug-target binding affinity with graph neural networks. The development of new drugs is costly, time consuming and often accompanied with safety issues. Drug repurposing can avoid the expensive and lengthy process of drug development by finding new uses for already approved drugs. In order to repurpose drugs effectively, it is useful to know
which proteins are targeted by which drugs. Computational models that estimate the interaction strength of new drug-target pairs have the potential to expedite drug repurposing. Several models have been proposed for this task. However, these models represent the drugs as strings, which is not a
natural way to represent molecules. We propose a new model called GraphDTA that represents drugs as graphs and uses graph neural networks to predict drug-target affinity. We show that graph neural networks not only predict drug-target affinity better than non-deep learning models, but also
outperform competing deep learning methods. Our results confirm that deep learning models are appropriate for drug-target binding affinity prediction, and that representing drugs as graphs can lead to further improvements. The proposed models are implemented in Python. Related data, pre-trained
models and source code are publicly available at https://github.com/thinng/GraphDTA. All scripts and data needed to reproduce the post hoc statistical analysis are available from https://doi.org/10.5281/zenodo.3603523. Supplementary data are available at Bioinformatics online."
Learning protein-ligand binding affinity with atomic environment vectors.,34391475,"Scoring functions for the prediction of protein-ligand binding affinity have seen renewed interest in recent years when novel machine learning and deep learning methods started to consistently outperform classical scoring functions. Here we explore the use of atomic environment vectors
(AEVs) and feed-forward neural networks, the building blocks of several neural network potentials, for the prediction of protein-ligand binding affinity. The AEV-based scoring function, which we term AEScore, is shown to perform as well or better than other state-of-the-art scoring functions on
binding affinity prediction, with an RMSE of 1.22 pK units and a Pearson's correlation coefficient of 0.83 for the CASF-2016 benchmark. However, AEScore does not perform as well in docking and virtual screening tasks, for which it has not been explicitly trained. Therefore, we show that the model
can be combined with the classical scoring function AutoDock Vina in the context of [Formula: see text]-learning, where corrections to the AutoDock Vina scoring function are learned instead of the protein-ligand binding affinity itself. Combined with AutoDock Vina, [Formula: see text]-AEScore has an
RMSE of 1.32 pK units and a Pearson's correlation coefficient of 0.80 on the CASF-2016 benchmark, while retaining the docking and screening power of the underlying classical scoring function.",1,"Learning protein-ligand binding affinity with atomic environment vectors. Scoring functions for the prediction of protein-ligand binding affinity have seen renewed interest in recent years when novel machine learning and deep learning methods started to consistently outperform classical scoring functions. Here we explore the use of atomic environment vectors
(AEVs) and feed-forward neural networks, the building blocks of several neural network potentials, for the prediction of protein-ligand binding affinity. The AEV-based scoring function, which we term AEScore, is shown to perform as well or better than other state-of-the-art scoring functions on
binding affinity prediction, with an RMSE of 1.22 pK units and a Pearson's correlation coefficient of 0.83 for the CASF-2016 benchmark. However, AEScore does not perform as well in docking and virtual screening tasks, for which it has not been explicitly trained. Therefore, we show that the model
can be combined with the classical scoring function AutoDock Vina in the context of [Formula: see text]-learning, where corrections to the AutoDock Vina scoring function are learned instead of the protein-ligand binding affinity itself. Combined with AutoDock Vina, [Formula: see text]-AEScore has an
RMSE of 1.32 pK units and a Pearson's correlation coefficient of 0.80 on the CASF-2016 benchmark, while retaining the docking and screening power of the underlying classical scoring function."
Drug-target interactions prediction via deep collaborative filtering with multiembeddings.,35043158,"Drug-target interactions (DTIs) prediction research presents important significance for promoting the development of modern medicine and pharmacology. Traditional biochemical experiments for DTIs prediction confront the challenges including long time period, high cost and high failure
rate, and finally leading to a low-drug productivity. Chemogenomic-based computational methods can realize high-throughput prediction. In this study, we develop a deep collaborative filtering prediction model with multiembeddings, named DCFME (deep collaborative filtering prediction model with
multiembeddings), which can jointly utilize multiple feature information from multiembeddings. Two different representation learning algorithms are first employed to extract heterogeneous network features. DCFME uses the generated low-dimensional dense vectors as input, and then simulates the
drug-target relationship from the perspective of both couplings and heterogeneity. In addition, the model employs focal loss that concentrates the loss on sparse and hard samples in the training process. Comparative experiments with five baseline methods show that DCFME achieves more significant
performance improvement on sparse datasets. Moreover, the model has better robustness and generalization capacity under several harder prediction scenarios.",0,"Drug-target interactions prediction via deep collaborative filtering with multiembeddings. Drug-target interactions (DTIs) prediction research presents important significance for promoting the development of modern medicine and pharmacology. Traditional biochemical experiments for DTIs prediction confront the challenges including long time period, high cost and high failure
rate, and finally leading to a low-drug productivity. Chemogenomic-based computational methods can realize high-throughput prediction. In this study, we develop a deep collaborative filtering prediction model with multiembeddings, named DCFME (deep collaborative filtering prediction model with
multiembeddings), which can jointly utilize multiple feature information from multiembeddings. Two different representation learning algorithms are first employed to extract heterogeneous network features. DCFME uses the generated low-dimensional dense vectors as input, and then simulates the
drug-target relationship from the perspective of both couplings and heterogeneity. In addition, the model employs focal loss that concentrates the loss on sparse and hard samples in the training process. Comparative experiments with five baseline methods show that DCFME achieves more significant
performance improvement on sparse datasets. Moreover, the model has better robustness and generalization capacity under several harder prediction scenarios."
TSSF-hERG: A machine-learning-based hERG potassium channel-specific scoring function for chemical cardiotoxicity prediction.,34757159,"The human ether-à-go-go-related gene (hERG) encodes the Kv11.1 voltage-gated potassium ion (K<sup>+</sup>) channel that conducts the rapidly activating delayed rectifier current (I<sub>Kr</sub>) in cardiomyocytes to regulate the repolarization process. Some drugs, as blockers of hERG
potassium channels, cannot be marketed due to prolonged QT intervals, as well known as cardiotoxicity. Predetermining the binding affinity values between drugs and hERG through in silico methods can greatly reduce the time and cost required for experimental verification. In this study, we collected
9,215 compounds with AutoDock Vina's docking structures as training set, and collected compounds from four references as test sets. A series of models for predicting the binding affinities of hERG blockers were built based on five machine learning algorithms and combinations of interaction features
and ligand features. The model built by support vector regression (SVR) using the combination of all features achieved the best performance on both tenfold cross-validation and external verification, which was selected and named as TSSF-hERG (target-specific scoring function for hERG). TSSF-hERG is
more accurate than the classic scoring function of AutoDock Vina and the machine-learning-based generic scoring function RF-Score, with a Pearson's correlation coefficient (Rp) of 0.765, a Spearman's rank correlation coefficient (Rs) of 0.757, a root-mean-square error (RMSE) of 0.585 in a tenfold
cross-validation study. All results demonstrated that TSSF-hERG would be useful for improving the power of binding affinity prediction between hERG and compounds, which can be further used for prediction or virtual screening of the hERG-related cardiotoxicity of drug candidates.",1,"TSSF-hERG: A machine-learning-based hERG potassium channel-specific scoring function for chemical cardiotoxicity prediction. The human ether-à-go-go-related gene (hERG) encodes the Kv11.1 voltage-gated potassium ion (K<sup>+</sup>) channel that conducts the rapidly activating delayed rectifier current (I<sub>Kr</sub>) in cardiomyocytes to regulate the repolarization process. Some drugs, as blockers of hERG
potassium channels, cannot be marketed due to prolonged QT intervals, as well known as cardiotoxicity. Predetermining the binding affinity values between drugs and hERG through in silico methods can greatly reduce the time and cost required for experimental verification. In this study, we collected
9,215 compounds with AutoDock Vina's docking structures as training set, and collected compounds from four references as test sets. A series of models for predicting the binding affinities of hERG blockers were built based on five machine learning algorithms and combinations of interaction features
and ligand features. The model built by support vector regression (SVR) using the combination of all features achieved the best performance on both tenfold cross-validation and external verification, which was selected and named as TSSF-hERG (target-specific scoring function for hERG). TSSF-hERG is
more accurate than the classic scoring function of AutoDock Vina and the machine-learning-based generic scoring function RF-Score, with a Pearson's correlation coefficient (Rp) of 0.765, a Spearman's rank correlation coefficient (Rs) of 0.757, a root-mean-square error (RMSE) of 0.585 in a tenfold
cross-validation study. All results demonstrated that TSSF-hERG would be useful for improving the power of binding affinity prediction between hERG and compounds, which can be further used for prediction or virtual screening of the hERG-related cardiotoxicity of drug candidates."
Drug-target binding affinity prediction using message passing neural network and self supervised learning.,37730555,"Drug-target binding affinity (DTA) prediction is important for the rapid development of drug discovery. Compared to traditional methods, deep learning methods provide a new way for DTA prediction to achieve good performance without much knowledge of the biochemical background. However,
there are still room for improvement in DTA prediction: (1) only focusing on the information of the atom leads to an incomplete representation of the molecular graph; (2) the self-supervised learning method could be introduced for protein representation. In this paper, a DTA prediction model using
the deep learning method is proposed, which uses an undirected-CMPNN for molecular embedding and combines CPCProt and MLM models for protein embedding. An attention mechanism is introduced to discover the important part of the protein sequence. The proposed method is evaluated on the datasets Ki and
Davis, and the model outperformed other deep learning methods. The proposed model improves the performance of the DTA prediction, which provides a novel strategy for deep learning-based virtual screening methods.",0,"Drug-target binding affinity prediction using message passing neural network and self supervised learning. Drug-target binding affinity (DTA) prediction is important for the rapid development of drug discovery. Compared to traditional methods, deep learning methods provide a new way for DTA prediction to achieve good performance without much knowledge of the biochemical background. However,
there are still room for improvement in DTA prediction: (1) only focusing on the information of the atom leads to an incomplete representation of the molecular graph; (2) the self-supervised learning method could be introduced for protein representation. In this paper, a DTA prediction model using
the deep learning method is proposed, which uses an undirected-CMPNN for molecular embedding and combines CPCProt and MLM models for protein embedding. An attention mechanism is introduced to discover the important part of the protein sequence. The proposed method is evaluated on the datasets Ki and
Davis, and the model outperformed other deep learning methods. The proposed model improves the performance of the DTA prediction, which provides a novel strategy for deep learning-based virtual screening methods."
Mitigating cold-start problems in drug-target affinity prediction with interaction knowledge transferring.,35788823,"Predicting the drug-target interaction is crucial for drug discovery as well as drug repurposing. Machine learning is commonly used in drug-target affinity (DTA) problem. However, the machine learning model faces the cold-start problem where the model performance drops when predicting the
interaction of a novel drug or target. Previous works try to solve the cold start problem by learning the drug or target representation using unsupervised learning. While the drug or target representation can be learned in an unsupervised manner, it still lacks the interaction information, which is
critical in drug-target interaction. To incorporate the interaction information into the drug and protein interaction, we proposed using transfer learning from chemical-chemical interaction (CCI) and protein-protein interaction (PPI) task to drug-target interaction task. The representation learned
by CCI and PPI tasks can be transferred smoothly to the DTA task due to the similar nature of the tasks. The result on the DTA datasets shows that our proposed method has advantages compared to other pre-training methods in the DTA task.",0,"Mitigating cold-start problems in drug-target affinity prediction with interaction knowledge transferring. Predicting the drug-target interaction is crucial for drug discovery as well as drug repurposing. Machine learning is commonly used in drug-target affinity (DTA) problem. However, the machine learning model faces the cold-start problem where the model performance drops when predicting the
interaction of a novel drug or target. Previous works try to solve the cold start problem by learning the drug or target representation using unsupervised learning. While the drug or target representation can be learned in an unsupervised manner, it still lacks the interaction information, which is
critical in drug-target interaction. To incorporate the interaction information into the drug and protein interaction, we proposed using transfer learning from chemical-chemical interaction (CCI) and protein-protein interaction (PPI) task to drug-target interaction task. The representation learned
by CCI and PPI tasks can be transferred smoothly to the DTA task due to the similar nature of the tasks. The result on the DTA datasets shows that our proposed method has advantages compared to other pre-training methods in the DTA task."
"Computational investigation of unsaturated ketone derivatives as MAO-B inhibitors by using QSAR, ADME/Tox, molecular docking, and molecular dynamics simulations.",37720619,"Unsaturated ketone derivatives are known as monoamine oxidase B (MAO-B) inhibitors, a potential drug target for Parkinson's disease. Here, molecular modeling studies, including 2D-QSAR, ADMET prediction, molecular docking, and MD simulation, were performed on a new series of MAO-B
inhibitors. The objective is to identify new MAO-B inhibitors with high inhibitory efficacy. The developed 2D-QSAR model was based on the descriptors of MOE software. The most appropriate model, using the partial least squares regression (PLS regression) method, yielded 0.88 for the determination
coefficient (r<sup>2</sup>), 0.28 for the root-mean-square error (RMSE), and 0.2 for the mean absolute error (MAE). The predictive capacity of the generated model was evaluated by internal and external validations, which gave the Q<sup>2</sup> and R<sup>2</sup><sub>test</sub> values of 0.81 and
0.71, respectively. The ability of a compound to be orally active was determined using the drug-likeness and ADMET prediction. The results indicate that most of the compounds have moderate pharmacokinetic characteristics without any side effects. Furthermore, the affinity of the ligands (unsaturated
ketone derivatives) to the MAO-B receptor was determined using molecular docking. The top conformers were then subjected to MD simulation. This research may pave the way for the development of novel unsaturated ketone derivatives capable of inhibiting the MAO-B enzyme.",1,"Computational investigation of unsaturated ketone derivatives as MAO-B inhibitors by using QSAR, ADME/Tox, molecular docking, and molecular dynamics simulations. Unsaturated ketone derivatives are known as monoamine oxidase B (MAO-B) inhibitors, a potential drug target for Parkinson's disease. Here, molecular modeling studies, including 2D-QSAR, ADMET prediction, molecular docking, and MD simulation, were performed on a new series of MAO-B
inhibitors. The objective is to identify new MAO-B inhibitors with high inhibitory efficacy. The developed 2D-QSAR model was based on the descriptors of MOE software. The most appropriate model, using the partial least squares regression (PLS regression) method, yielded 0.88 for the determination
coefficient (r<sup>2</sup>), 0.28 for the root-mean-square error (RMSE), and 0.2 for the mean absolute error (MAE). The predictive capacity of the generated model was evaluated by internal and external validations, which gave the Q<sup>2</sup> and R<sup>2</sup><sub>test</sub> values of 0.81 and
0.71, respectively. The ability of a compound to be orally active was determined using the drug-likeness and ADMET prediction. The results indicate that most of the compounds have moderate pharmacokinetic characteristics without any side effects. Furthermore, the affinity of the ligands (unsaturated
ketone derivatives) to the MAO-B receptor was determined using molecular docking. The top conformers were then subjected to MD simulation. This research may pave the way for the development of novel unsaturated ketone derivatives capable of inhibiting the MAO-B enzyme."
