Title,PMID,Abstract,Regression,text
GIFDTI: Prediction of Drug-Target Interactions Based on Global Molecular and Intermolecular Interaction Representation Learning.,36445997,"Drug discovery and drug repurposing often rely on the successful prediction of drug-target interactions (DTIs). Recent advances have shown great promise in applying deep learning to drug-target interaction prediction. One challenge in building deep learning-based models is to adequately represent drugs and proteins that encompass the fundamental local chemical environments and long-distance information among amino acids of proteins (or atoms of drugs). Another challenge is to efficiently model the intermolecular interactions between drugs and proteins, which plays vital roles in the DTIs. To this end, we propose a novel model, GIFDTI, which consists of three key components: the sequence feature extractor (CNNFormer), the global molecular feature extractor (GF), and the intermolecular interaction modeling module (IIF). Specifically, CNNFormer incorporates CNN and Transformer to capture the local patterns and encode the long-distance relationship among tokens (atoms or amino acids) in a sequence. Then, GF and IIF extract the global molecular features and the intermolecular interaction features, respectively. We evaluate GIFDTI on six realistic evaluation strategies and the results show it improves DTI prediction performance compared to state-of-the-art methods. Moreover, case studies confirm that our model can be a useful tool to accurately yield low-cost DTIs. The codes of GIFDTI are available at https://github.com/zhaoqichang/GIFDTI.",0,"GIFDTI: Prediction of Drug-Target Interactions Based on Global Molecular and Intermolecular Interaction Representation Learning. Drug discovery and drug repurposing often rely on the successful prediction of drug-target interactions (DTIs). Recent advances have shown great promise in applying deep learning to drug-target interaction prediction. One challenge in building deep learning-based models is to adequately represent drugs and proteins that encompass the fundamental local chemical environments and long-distance information among amino acids of proteins (or atoms of drugs). Another challenge is to efficiently model the intermolecular interactions between drugs and proteins, which plays vital roles in the DTIs. To this end, we propose a novel model, GIFDTI, which consists of three key components: the sequence feature extractor (CNNFormer), the global molecular feature extractor (GF), and the intermolecular interaction modeling module (IIF). Specifically, CNNFormer incorporates CNN and Transformer to capture the local patterns and encode the long-distance relationship among tokens (atoms or amino acids) in a sequence. Then, GF and IIF extract the global molecular features and the intermolecular interaction features, respectively. We evaluate GIFDTI on six realistic evaluation strategies and the results show it improves DTI prediction performance compared to state-of-the-art methods. Moreover, case studies confirm that our model can be a useful tool to accurately yield low-cost DTIs. The codes of GIFDTI are available at https://github.com/zhaoqichang/GIFDTI."
SAG-DTA: Prediction of Drug-Target Affinity Using Self-Attention Graph Network.,34445696,"The prediction of drug-target affinity (DTA) is a crucial step for drug screening and discovery. In this study, a new graph-based prediction model named SAG-DTA (self-attention graph drug-target affinity) was implemented. Unlike previous graph-based methods, the proposed model utilized self-attention mechanisms on the drug molecular graph to obtain effective representations of drugs for DTA prediction. Features of each atom node in the molecular graph were weighted using an attention score before being aggregated as molecule representation. Various self-attention scoring methods were compared in this study. In addition, two pooing architectures, namely, global and hierarchical architectures, were presented and evaluated on benchmark datasets. Results of comparative experiments on both regression and binary classification tasks showed that SAG-DTA was superior to previous sequence-based or other graph-based methods and exhibited good generalization ability.",1,"SAG-DTA: Prediction of Drug-Target Affinity Using Self-Attention Graph Network. The prediction of drug-target affinity (DTA) is a crucial step for drug screening and discovery. In this study, a new graph-based prediction model named SAG-DTA (self-attention graph drug-target affinity) was implemented. Unlike previous graph-based methods, the proposed model utilized self-attention mechanisms on the drug molecular graph to obtain effective representations of drugs for DTA prediction. Features of each atom node in the molecular graph were weighted using an attention score before being aggregated as molecule representation. Various self-attention scoring methods were compared in this study. In addition, two pooing architectures, namely, global and hierarchical architectures, were presented and evaluated on benchmark datasets. Results of comparative experiments on both regression and binary classification tasks showed that SAG-DTA was superior to previous sequence-based or other graph-based methods and exhibited good generalization ability."
Toxicity prediction using target,37061207,"In silico methods are essential to the safety evaluation of chemicals. Computational risk assessment offers several approaches, with data science and knowledge-based methods becoming an increasingly important sub-group. One of the substantial attributes of data science is that it allows using existing data to find correlations, build strong hypotheses, and create new, valuable knowledge that may help to reduce the number of resource intensive experiments. In choosing a suitable method for toxicity prediction, the available data and desired toxicity endpoint are two essential factors to consider. The complexity of the endpoint can impact the success rate of the in silico models. For highly complex endpoints such as hepatotoxicity, it can be beneficial to decipher the toxic event from a more systemic point of view. We propose a data science-based modelling pipeline that uses compounds` connections to tissue-specific biological targets, interactome, and biological pathways as descriptors of compounds. Models trained on different combinations of the collected, compound-target, compound-interactor, and compound-pathway profiles, were used to predict the hepatotoxicity of drug-like compounds. Several tree-based models were trained, utilizing separate and combined target, interactome and pathway level variables. The model using combined descriptors of all levels and the random forest algorithm was further optimized. Descriptor importance for model performance was addressed and examined for a biological explanation to define which targets or pathways can have a crucial role in toxicity. Descriptors connected to cytochromes P450 enzymes, heme degradation and biological oxidation received high weights. Furthermore, the involvement of other, less discussed processes in connection with toxicity, such as the involvement of RHO GTPase effectors in hepatotoxicity, were marked as fundamental. The optimized combined model using only the selected descriptors yielded the best performance with an accuracy of 0.766. The same dataset using classical Morgan fingerprints for compound representation yielded models with similar performance measures, as well as the combination of systems biology-based descriptors and Morgan fingerprints. Consequently, adding the structural information of compounds did not enhance the predictive value of the models. The developed systems biology-based pipeline comprises a valuable tool in predicting toxicity, while providing novel insights about the possible mechanisms of the unwanted events.",0,"Toxicity prediction using target In silico methods are essential to the safety evaluation of chemicals. Computational risk assessment offers several approaches, with data science and knowledge-based methods becoming an increasingly important sub-group. One of the substantial attributes of data science is that it allows using existing data to find correlations, build strong hypotheses, and create new, valuable knowledge that may help to reduce the number of resource intensive experiments. In choosing a suitable method for toxicity prediction, the available data and desired toxicity endpoint are two essential factors to consider. The complexity of the endpoint can impact the success rate of the in silico models. For highly complex endpoints such as hepatotoxicity, it can be beneficial to decipher the toxic event from a more systemic point of view. We propose a data science-based modelling pipeline that uses compounds` connections to tissue-specific biological targets, interactome, and biological pathways as descriptors of compounds. Models trained on different combinations of the collected, compound-target, compound-interactor, and compound-pathway profiles, were used to predict the hepatotoxicity of drug-like compounds. Several tree-based models were trained, utilizing separate and combined target, interactome and pathway level variables. The model using combined descriptors of all levels and the random forest algorithm was further optimized. Descriptor importance for model performance was addressed and examined for a biological explanation to define which targets or pathways can have a crucial role in toxicity. Descriptors connected to cytochromes P450 enzymes, heme degradation and biological oxidation received high weights. Furthermore, the involvement of other, less discussed processes in connection with toxicity, such as the involvement of RHO GTPase effectors in hepatotoxicity, were marked as fundamental. The optimized combined model using only the selected descriptors yielded the best performance with an accuracy of 0.766. The same dataset using classical Morgan fingerprints for compound representation yielded models with similar performance measures, as well as the combination of systems biology-based descriptors and Morgan fingerprints. Consequently, adding the structural information of compounds did not enhance the predictive value of the models. The developed systems biology-based pipeline comprises a valuable tool in predicting toxicity, while providing novel insights about the possible mechanisms of the unwanted events."
A deep learning method for drug-target affinity prediction based on sequence interaction information mining.,38099302,"A critical aspect of <i>in silico</i> drug discovery involves the prediction of drug-target affinity (DTA). Conducting wet lab experiments to determine affinity is both expensive and time-consuming, making it necessary to find alternative approaches. In recent years, deep learning has emerged as a promising technique for DTA prediction, leveraging the substantial computational power of modern computers. We proposed a novel sequence-based approach, named KC-DTA, for predicting drug-target affinity (DTA). In this approach, we converted the target sequence into two distinct matrices, while representing the molecule compound as a graph. The proposed method utilized k-mers analysis and Cartesian product calculation to capture the interactions and evolutionary information among various residues, enabling the creation of the two matrices for target sequence. For molecule, it was represented by constructing a molecular graph where atoms serve as nodes and chemical bonds serve as edges. Subsequently, the obtained target matrices and molecule graph were utilized as inputs for convolutional neural networks (CNNs) and graph neural networks (GNNs) to extract hidden features, which were further used for the prediction of binding affinity. In order to evaluate the effectiveness of the proposed method, we conducted several experiments and made a comprehensive comparison with the state-of-the-art approaches using multiple evaluation metrics. The results of our experiments demonstrated that the KC-DTA method achieves high performance in predicting drug-target affinity (DTA). The findings of this research underscore the significance of the KC-DTA method as a valuable tool in the field of <i>in silico</i> drug discovery, offering promising opportunities for accelerating the drug development process. All the data and code are available for access on https://github.com/syc2017/KCDTA.",1,"A deep learning method for drug-target affinity prediction based on sequence interaction information mining. A critical aspect of <i>in silico</i> drug discovery involves the prediction of drug-target affinity (DTA). Conducting wet lab experiments to determine affinity is both expensive and time-consuming, making it necessary to find alternative approaches. In recent years, deep learning has emerged as a promising technique for DTA prediction, leveraging the substantial computational power of modern computers. We proposed a novel sequence-based approach, named KC-DTA, for predicting drug-target affinity (DTA). In this approach, we converted the target sequence into two distinct matrices, while representing the molecule compound as a graph. The proposed method utilized k-mers analysis and Cartesian product calculation to capture the interactions and evolutionary information among various residues, enabling the creation of the two matrices for target sequence. For molecule, it was represented by constructing a molecular graph where atoms serve as nodes and chemical bonds serve as edges. Subsequently, the obtained target matrices and molecule graph were utilized as inputs for convolutional neural networks (CNNs) and graph neural networks (GNNs) to extract hidden features, which were further used for the prediction of binding affinity. In order to evaluate the effectiveness of the proposed method, we conducted several experiments and made a comprehensive comparison with the state-of-the-art approaches using multiple evaluation metrics. The results of our experiments demonstrated that the KC-DTA method achieves high performance in predicting drug-target affinity (DTA). The findings of this research underscore the significance of the KC-DTA method as a valuable tool in the field of <i>in silico</i> drug discovery, offering promising opportunities for accelerating the drug development process. All the data and code are available for access on https://github.com/syc2017/KCDTA."
Multi-view self-attention for interpretable drug-target interaction prediction.,32860883,"The drug discovery stage is a vital aspect of the drug development process and forms part of the initial stages of the development pipeline. In recent times, machine learning-based methods are actively being used to model drug-target interactions for rational drug discovery due to the successful application of these methods in other domains. In machine learning approaches, the numerical representation of molecules is critical to the performance of the model. While significant progress has been made in molecular representation engineering, this has resulted in several descriptors for both targets and compounds. Also, the interpretability of model predictions is a vital feature that could have several pharmacological applications. In this study, we propose a self-attention-based multi-view representation learning approach for modeling drug-target interactions. We evaluated our approach using three benchmark kinase datasets and compared the proposed method to some baseline models. Our experimental results demonstrate the ability of our method to achieve competitive prediction performance and offer biologically plausible drug-target interaction interpretations.",1,"Multi-view self-attention for interpretable drug-target interaction prediction. The drug discovery stage is a vital aspect of the drug development process and forms part of the initial stages of the development pipeline. In recent times, machine learning-based methods are actively being used to model drug-target interactions for rational drug discovery due to the successful application of these methods in other domains. In machine learning approaches, the numerical representation of molecules is critical to the performance of the model. While significant progress has been made in molecular representation engineering, this has resulted in several descriptors for both targets and compounds. Also, the interpretability of model predictions is a vital feature that could have several pharmacological applications. In this study, we propose a self-attention-based multi-view representation learning approach for modeling drug-target interactions. We evaluated our approach using three benchmark kinase datasets and compared the proposed method to some baseline models. Our experimental results demonstrate the ability of our method to achieve competitive prediction performance and offer biologically plausible drug-target interaction interpretations."
Prediction of drug protein interactions based on variable scale characteristic pyramid convolution network.,36804213,"In the process of drug screening, it is significant to improve the accuracy of drug-target binding affinity prediction. A multilayer convolutional neural network is one of the most popular existing methods for predicting affinity based on deep learning. It uses multiple convolution layers to extract features from the simplified molecular input system (SMILES) strings of the compounds and amino acid sequences of proteins and then performs affinity prediction analysis. However, the semantic information contained in low-level features can gradually be lost due to the increasing network depth, which affects the prediction performance. We propose a novel method called the Pyramid Network Convolution Drug-Target Binding Affinity (PCNN-DTA) method for drug-target binding affinity prediction. The PCNN-DTA method, which is based on a feature pyramid network (FPN), fuses the features extracted from each layer of a multilayer convolution network to retain more low-level feature information, thus improving the prediction accuracy. PCNN-DTA is compared with other typical algorithms on three benchmark datasets, namely, the KIBA, Davis, and Binding DB datasets. Experimental results show that the PCNN-DTA method is superior to existing regression prediction methods using convolutional neural networks, which further demonstrates its effectiveness.",1,"Prediction of drug protein interactions based on variable scale characteristic pyramid convolution network. In the process of drug screening, it is significant to improve the accuracy of drug-target binding affinity prediction. A multilayer convolutional neural network is one of the most popular existing methods for predicting affinity based on deep learning. It uses multiple convolution layers to extract features from the simplified molecular input system (SMILES) strings of the compounds and amino acid sequences of proteins and then performs affinity prediction analysis. However, the semantic information contained in low-level features can gradually be lost due to the increasing network depth, which affects the prediction performance. We propose a novel method called the Pyramid Network Convolution Drug-Target Binding Affinity (PCNN-DTA) method for drug-target binding affinity prediction. The PCNN-DTA method, which is based on a feature pyramid network (FPN), fuses the features extracted from each layer of a multilayer convolution network to retain more low-level feature information, thus improving the prediction accuracy. PCNN-DTA is compared with other typical algorithms on three benchmark datasets, namely, the KIBA, Davis, and Binding DB datasets. Experimental results show that the PCNN-DTA method is superior to existing regression prediction methods using convolutional neural networks, which further demonstrates its effectiveness."
How to approach machine learning-based prediction of drug/compound-target interactions.,36747300,"The identification of drug/compound-target interactions (DTIs) constitutes the basis of drug discovery, for which computational predictive approaches have been developed. As a relatively new data-driven paradigm, proteochemometric (PCM) modeling utilizes both protein and compound properties as a pair at the input level and processes them via statistical/machine learning. The representation of input samples (i.e., proteins and their ligands) in the form of quantitative feature vectors is crucial for the extraction of interaction-related properties during the artificial learning and subsequent prediction of DTIs. Lately, the representation learning approach, in which input samples are automatically featurized via training and applying a machine/deep learning model, has been utilized in biomedical sciences. In this study, we performed a comprehensive investigation of different computational approaches/techniques for protein featurization (including both conventional approaches and the novel learned embeddings), data preparation and exploration, machine learning-based modeling, and performance evaluation with the aim of achieving better data representations and more successful learning in DTI prediction. For this, we first constructed realistic and challenging benchmark datasets on small, medium, and large scales to be used as reliable gold standards for specific DTI modeling tasks. We developed and applied a network analysis-based splitting strategy to divide datasets into structurally different training and test folds. Using these datasets together with various featurization methods, we trained and tested DTI prediction models and evaluated their performance from different angles. Our main findings can be summarized under 3 items: (i) random splitting of datasets into train and test folds leads to near-complete data memorization and produce highly over-optimistic results, as a result, should be avoided, (ii) learned protein sequence embeddings work well in DTI prediction and offer high potential, despite interaction-related properties (e.g., structures) of proteins are unused during their self-supervised model training, and (iii) during the learning process, PCM models tend to rely heavily on compound features while partially ignoring protein features, primarily due to the inherent bias in DTI data, indicating the requirement for new and unbiased datasets. We hope this study will aid researchers in designing robust and high-performing data-driven DTI prediction systems that have real-world translational value in drug discovery.",1,"How to approach machine learning-based prediction of drug/compound-target interactions. The identification of drug/compound-target interactions (DTIs) constitutes the basis of drug discovery, for which computational predictive approaches have been developed. As a relatively new data-driven paradigm, proteochemometric (PCM) modeling utilizes both protein and compound properties as a pair at the input level and processes them via statistical/machine learning. The representation of input samples (i.e., proteins and their ligands) in the form of quantitative feature vectors is crucial for the extraction of interaction-related properties during the artificial learning and subsequent prediction of DTIs. Lately, the representation learning approach, in which input samples are automatically featurized via training and applying a machine/deep learning model, has been utilized in biomedical sciences. In this study, we performed a comprehensive investigation of different computational approaches/techniques for protein featurization (including both conventional approaches and the novel learned embeddings), data preparation and exploration, machine learning-based modeling, and performance evaluation with the aim of achieving better data representations and more successful learning in DTI prediction. For this, we first constructed realistic and challenging benchmark datasets on small, medium, and large scales to be used as reliable gold standards for specific DTI modeling tasks. We developed and applied a network analysis-based splitting strategy to divide datasets into structurally different training and test folds. Using these datasets together with various featurization methods, we trained and tested DTI prediction models and evaluated their performance from different angles. Our main findings can be summarized under 3 items: (i) random splitting of datasets into train and test folds leads to near-complete data memorization and produce highly over-optimistic results, as a result, should be avoided, (ii) learned protein sequence embeddings work well in DTI prediction and offer high potential, despite interaction-related properties (e.g., structures) of proteins are unused during their self-supervised model training, and (iii) during the learning process, PCM models tend to rely heavily on compound features while partially ignoring protein features, primarily due to the inherent bias in DTI data, indicating the requirement for new and unbiased datasets. We hope this study will aid researchers in designing robust and high-performing data-driven DTI prediction systems that have real-world translational value in drug discovery."
DTiGEMS+,33431036,"In silico prediction of drug-target interactions is a critical phase in the sustainable drug development process, especially when the research focus is to capitalize on the repositioning of existing drugs. However, developing such computational methods is not an easy task, but is much needed, as current methods that predict potential drug-target interactions suffer from high false-positive rates. Here we introduce DTiGEMS+, a computational method that predicts Drug-Target interactions using Graph Embedding, graph Mining, and Similarity-based techniques. DTiGEMS+ combines similarity-based as well as feature-based approaches, and models the identification of novel drug-target interactions as a link prediction problem in a heterogeneous network. DTiGEMS+ constructs the heterogeneous network by augmenting the known drug-target interactions graph with two other complementary graphs namely: drug-drug similarity, target-target similarity. DTiGEMS+ combines different computational techniques to provide the final drug target prediction, these techniques include graph embeddings, graph mining, and machine learning. DTiGEMS+ integrates multiple drug-drug similarities and target-target similarities into the final heterogeneous graph construction after applying a similarity selection procedure as well as a similarity fusion algorithm. Using four benchmark datasets, we show DTiGEMS+ substantially improves prediction performance compared to other state-of-the-art in silico methods developed to predict of drug-target interactions by achieving the highest average AUPR across all datasets (0.92), which reduces the error rate by 33.3% relative to the second-best performing model in the state-of-the-art methods comparison.",0,"DTiGEMS+ In silico prediction of drug-target interactions is a critical phase in the sustainable drug development process, especially when the research focus is to capitalize on the repositioning of existing drugs. However, developing such computational methods is not an easy task, but is much needed, as current methods that predict potential drug-target interactions suffer from high false-positive rates. Here we introduce DTiGEMS+, a computational method that predicts Drug-Target interactions using Graph Embedding, graph Mining, and Similarity-based techniques. DTiGEMS+ combines similarity-based as well as feature-based approaches, and models the identification of novel drug-target interactions as a link prediction problem in a heterogeneous network. DTiGEMS+ constructs the heterogeneous network by augmenting the known drug-target interactions graph with two other complementary graphs namely: drug-drug similarity, target-target similarity. DTiGEMS+ combines different computational techniques to provide the final drug target prediction, these techniques include graph embeddings, graph mining, and machine learning. DTiGEMS+ integrates multiple drug-drug similarities and target-target similarities into the final heterogeneous graph construction after applying a similarity selection procedure as well as a similarity fusion algorithm. Using four benchmark datasets, we show DTiGEMS+ substantially improves prediction performance compared to other state-of-the-art in silico methods developed to predict of drug-target interactions by achieving the highest average AUPR across all datasets (0.92), which reduces the error rate by 33.3% relative to the second-best performing model in the state-of-the-art methods comparison."
SubMDTA: drug target affinity prediction based on substructure extraction and multi-scale features.,37679724,"Drug-target affinity (DTA) prediction is a critical step in the field of drug discovery. In recent years, deep learning-based methods have emerged for DTA prediction. In order to solve the problem of fusion of substructure information of drug molecular graphs and utilize multi-scale information of protein, a self-supervised pre-training model based on substructure extraction and multi-scale features is proposed in this paper. For drug molecules, the model obtains substructure information through the method of probability matrix, and the contrastive learning method is implemented on the graph-level representation and subgraph-level representation to pre-train the graph encoder for downstream tasks. For targets, a BiLSTM method that integrates multi-scale features is used to capture long-distance relationships in the amino acid sequence. The experimental results showed that our model achieved better performance for DTA prediction. The proposed model improves the performance of the DTA prediction, which provides a novel strategy based on substructure extraction and multi-scale features.",1,"SubMDTA: drug target affinity prediction based on substructure extraction and multi-scale features. Drug-target affinity (DTA) prediction is a critical step in the field of drug discovery. In recent years, deep learning-based methods have emerged for DTA prediction. In order to solve the problem of fusion of substructure information of drug molecular graphs and utilize multi-scale information of protein, a self-supervised pre-training model based on substructure extraction and multi-scale features is proposed in this paper. For drug molecules, the model obtains substructure information through the method of probability matrix, and the contrastive learning method is implemented on the graph-level representation and subgraph-level representation to pre-train the graph encoder for downstream tasks. For targets, a BiLSTM method that integrates multi-scale features is used to capture long-distance relationships in the amino acid sequence. The experimental results showed that our model achieved better performance for DTA prediction. The proposed model improves the performance of the DTA prediction, which provides a novel strategy based on substructure extraction and multi-scale features."
Diclofenac conjugates with biocides through silver(I) ions (CoMeD's); Development of a reliable model for the prediction of anti-proliferation of NSAID's-silver formulations.,30798079,"The conjugation of diclofenac (DICLH), a Non-Steroidal Anti-inflammatory Drug (NSAID), with biocides such as dimethyl sulfoxide (DMSO) and triphenylphosphine (TPP), through silver(I) ions, results into the chemical [Agn(DICL)n(L)m]k (L = DMSO and n = 2, m = 2, k = infinite (1); L = TPP and n = 1, m = 2, k = 1 (2)). The compounds were characterized by m.p., FT-IR, UV-vis and 1H NMR spectroscopic techniques. The crystal and molecular structures of 1-2 were determined by X-ray crystallography. The in vitro cytotoxic activity of 1-2 against the human breast adenocarcinoma cancer cells MCF-7 (hormone dependent) and MDA-MB-231 (hormone independent) reveals that the 1 inhibits the MCF-7 rather than the MDA-MB-231 cells, suggesting hormone mimetic behaviour. Compound 2 inhibits both cancerous cell lines, stronger than cisplatin. Both compounds inhibit MCF-7 cells migration. Compounds 1-2, exhibit, lower toxicity against fetal lung fibroblast (MRC-5) cells than cisplatin. Their genotoxicity was evaluated on MRC-5 cells. The molecular mechanism of 1-2 against MCF-7 cells was clarified by (i) their cell cycle arrest study (ii) their mitochondrial membrane permeability (iii) their binding affinity towards Calf Thymus (CT)-DNA and (iv) their inhibitory activity against the enzyme lipoxygenase (LOX). Regression analysis of the data obtained for [Ag(NSAID)(Ar3P)m] (NSAID = p‑hydroxy‑benzoic acid (p-HO-BZAH), salicylic acid (SALH2), aspirin (ASPH), naproxen (NAPRH), nimesulide (NIMH); L = TPP, Tri(p‑tolyl)phosphine (TPTP), Tri(o‑tolyl)phosphine (TOTP), Tri(m‑tolyl)phosphine (TMTP); m = 2 or 3) and [Ag(DICL)2(DMSO)2]k (k = infinite) was performed. Considering the biological results (IC50) as dependent variable a theoretical equation is obtained for these compounds. The calculated IC50 values are compared satisfactorily with the corresponding experimental inhibitory activity of the complexes.",1,"Diclofenac conjugates with biocides through silver(I) ions (CoMeD's); Development of a reliable model for the prediction of anti-proliferation of NSAID's-silver formulations. The conjugation of diclofenac (DICLH), a Non-Steroidal Anti-inflammatory Drug (NSAID), with biocides such as dimethyl sulfoxide (DMSO) and triphenylphosphine (TPP), through silver(I) ions, results into the chemical [Agn(DICL)n(L)m]k (L = DMSO and n = 2, m = 2, k = infinite (1); L = TPP and n = 1, m = 2, k = 1 (2)). The compounds were characterized by m.p., FT-IR, UV-vis and 1H NMR spectroscopic techniques. The crystal and molecular structures of 1-2 were determined by X-ray crystallography. The in vitro cytotoxic activity of 1-2 against the human breast adenocarcinoma cancer cells MCF-7 (hormone dependent) and MDA-MB-231 (hormone independent) reveals that the 1 inhibits the MCF-7 rather than the MDA-MB-231 cells, suggesting hormone mimetic behaviour. Compound 2 inhibits both cancerous cell lines, stronger than cisplatin. Both compounds inhibit MCF-7 cells migration. Compounds 1-2, exhibit, lower toxicity against fetal lung fibroblast (MRC-5) cells than cisplatin. Their genotoxicity was evaluated on MRC-5 cells. The molecular mechanism of 1-2 against MCF-7 cells was clarified by (i) their cell cycle arrest study (ii) their mitochondrial membrane permeability (iii) their binding affinity towards Calf Thymus (CT)-DNA and (iv) their inhibitory activity against the enzyme lipoxygenase (LOX). Regression analysis of the data obtained for [Ag(NSAID)(Ar3P)m] (NSAID = p‑hydroxy‑benzoic acid (p-HO-BZAH), salicylic acid (SALH2), aspirin (ASPH), naproxen (NAPRH), nimesulide (NIMH); L = TPP, Tri(p‑tolyl)phosphine (TPTP), Tri(o‑tolyl)phosphine (TOTP), Tri(m‑tolyl)phosphine (TMTP); m = 2 or 3) and [Ag(DICL)2(DMSO)2]k (k = infinite) was performed. Considering the biological results (IC50) as dependent variable a theoretical equation is obtained for these compounds. The calculated IC50 values are compared satisfactorily with the corresponding experimental inhibitory activity of the complexes."
